symbol,mean_volume,outstanding_shares
SHB,99889980.42168675,4593.7
HPG,66594092.4939759,7675.5
SSI,50501722.65060241,2075.9
VIX,45981977.10843374,1531.4
VPB,44645540.96385542,7933.9
VND,36129832.4939759,1522.3
MBB,34931850.18072289,8055.0
SHS,34864150.60240964,899.5
CII,32390404.25301205,624.9
TPB,31465392.77108434,2642.0
DXG,27747922.891566265,1018.9
DIG,27563039.69879518,796.4
CEO,24886892.95180723,567.4
PDR,24852493.04819277,979.8
NVL,24794632.53012048,2047.6
TCB,23710490.30120482,7086.2
HDB,20268440.963855423,3844.3
ACB,18164962.65060241,5136.7
EVF,17770986.74698795,760.6
MSB,17540721.51807229,3120.0
NKG,17524657.8313253,447.6
VSC,16160784.337349398,374.4
VIB,15918864.337349398,3404.0
EIB,15781020.481927712,1862.7
HCM,15634248.686746988,1080.0
HAG,15379991.56626506,1267.4
HHV,15256616.831325302,497.4
VCG,14431919.277108435,646.5
GEX,14363795.024096385,902.4
POW,13428151.807228915,2341.9
VCI,13138663.855421687,722.6
KHG,12654932.530120483,449.4
BSR,11852126.132530121,3100.5
STB,11163771.08433735,1885.2
MSN,10887461.445783133,1445.9
CTG,10866364.21686747,5370.0
HSG,10674478.313253012,621.0
TCH,10535941.168674698,868.7
BCG,10480298.529411765,880.2
FPT,10381364.08433735,1703.5
HQC,10037327.710843373,576.6
SCR,9333551.807228915,430.6
MWG,9218389.096385542,1478.5
KBC,8723506.024096385,941.8
DBC,8517491.048192771,384.9
MBS,8468510.746987952,658.7
OCB,8075776.421686747,2663.1
ORS,7911732.530120482,336.0
VCB,7865284.3132530125,8355.7
HHS,7828118.072289157,432.0
BID,7725746.819277109,7021.4
LDG,7673569.879518072,255.6
PVD,7503107.843373494,555.9
HDC,6850500.0,178.4
KDH,6701460.542168675,1122.2
ABB,6558050.602409638,1035.0
HDG,6491150.602409638,370.0
BVB,6246728.915662651,640.8
PVS,6035442.168674699,478.0
IJC,5701705.530120482,629.6
LCG,5537562.108433735,206.6
VNM,5525372.457831325,2090.0
PC1,5144425.301204819,357.6
DPM,4850702.795180723,679.9
HNG,4809769.879518072,1108.6
DCM,4802314.65060241,529.4
DLG,4726442.168674699,299.3
