symbol,so_cp_luu_hanh,close
VCB,8355675094.0,63.8
MBB,8054999909.0,27.2
VPB,7933923601.0,31.05
HPG,7675465855.0,29.05
TCB,7086240414.0,38.85
BID,7021361917.0,40.6
CTG,5369991748.0,52.7
ACB,5136656599.0,26.7
SHB,4593703838.0,17.25
VHM,4107412004.0,102.0
GVR,4000000000.0,27.6
VIC,3853015512.0,179.0
ACV,3582324023.0,56.3
HDB,3495060732.0,31.35
VIB,3404005710.0,20.1
MSB,3120000000.0,13.5
HVN,3111498211.0,34.9
BSR,3100499616.0,26.4
VGI,3043811200.0,68.6
LPB,2987282100.0,53.4
SSB,2845000000.0,19.35
OCB,2663052284.0,12.95
TPB,2641956196.0,19.45
GAS,2412949756.0,61.4
POW,2341871600.0,14.3
VRE,2272318410.0,34.65
VNM,2089955445.0,62.0
SSI,2075914794.0,41.55
NVL,1950104538.0,15.25
STB,1885215716.0,58.7
EIB,1862720607.0,25.85
VPL,1793300377.0,86.5
NAB,1715686480.0,15.1
FPT,1703507121.0,95.7
VIX,1531429858.0,37.5
VND,1522299908.0,24.05
MWG,1478456763.0,79.8
MSN,1445915457.0,83.2
VEA,1328800000.0,39.8
SAB,1282562372.0,46.0
PLX,1270592235.0,34.1
HAG,1267399283.0,16.75
MVN,1200588000.0,51.9
NVB,1174632751.0,15.0
PGV,1123468046.0,20.55
KDH,1122214899.0,31.85
HNG,1108553895.0,6.2
MSR,1099829520.0,23.6
HCM,1079956671.0,27.65
HUT,1068285581.0,17.1
MCH,1056705358.0,132.0
ABB,1035036762.0,12.7
BCM,1035000000.0,66.3
OIL,1034229500.0,11.1
DXG,1018884189.0,20.35
BAB,1003219052.0,13.5
PDR,979809379.0,22.55
KBC,941754759.0,35.3
GEX,902398948.0,53.9
KSF,899787308.0,92.5
SHS,894462220.0,26.8
BCG,880210644.0,2.58
TCH,868680595.0,22.15
VBB,821031970.0,11.8
VAB,816360672.0,11.6
SBT,814545038.0,24.3
EVF,760565802.0,13.8
BVH,742322764.0,53.9
FOX,738763463.0,64.8
BGE,730000000.0,4.8
VCI,722600000.0,44.0
DTK,682767475.0,12.4
DPM,679925021.0,24.15
TVN,678000000.0,8.1
MBS,658704886.0,35.1
VCG,646468336.0,27.7
DIG,646431191.0,21.7
BVB,640820000.0,14.4
IJC,629580640.0,12.8
CII,624939021.0,25.2
HSG,620982309.0,18.7
VJC,591611334.0,132.6
DXS,579103124.0,11.85
KLB,578370526.0,16.2
HQC,576599274.0,3.49
CEO,567416075.0,24.5
PVD,555880006.0,21.05
REE,541658139.0,65.2
DCM,529400000.0,35.65
VSF,500000000.0,26.1
HND,500000000.0,11.5
VGT,500000000.0,12.2
PGB,500000000.0,16.5
HHV,497433003.0,15.55
PVS,477966290.0,32.3
BCR,473799913.0,1.5
PVT,469931235.0,18.0
CRE,463678426.0,10.15
QTP,450000000.0,13.1
SJG,449537112.0,19.6
KHG,449435205.0,6.82
VGC,448350000.0,53.5
NKG,447570881.0,17.55
HHS,431985968.0,18.4
SCR,430595036.0,9.07
GMD,426495109.0,67.0
DNH,422400000.0,50.0
ASM,407196075.0,7.78
MPC,401093000.0,16.7
PVX,399997029.0,1.9
CC1,397568300.0,30.5
AAA,393742730.0,8.19
TTF,393532487.0,3.02
NLG,385075304.0,38.6
THD,384999972.0,27.3
DBC,384866667.0,27.25
HT1,381589911.0,17.6
SAM,379960971.0,7.6
DGC,379778413.0,92.8
IDC,379498823.0,38.1
SNZ,376491800.0,35.6
SSH,375000000.0,87.8
VSC,374370362.0,27.95
HDG,369963035.0,31.1
QNS,367648153.0,47.6
GEE,365999956.0,125.7
TAL,360000000.0,47.55
GEG,358308371.0,15.95
PC1,357642121.0,24.85
C4G,357300754.0,9.2
VIF,350000000.0,15.8
HBC,347213270.0,7.3
FTS,346498009.0,36.4
DSE,342600000.0,30.3
PNJ,341149107.0,85.0
MML,340316858.0,37.0
FIT,339933034.0,4.77
SGB,338799141.0,13.5
ORS,335999743.0,14.5
TCD,335820641.0,1.84
PHP,326960000.0,34.4
PPC,320613054.0,10.7
VPI,320049577.0,55.6
HPX,304168581.0,5.06
BAF,304021642.0,34.85
PRT,300000000.0,11.9
OGC,299999999.0,4.14
DLG,299309720.0,2.84
SJS,297474828.0,66.8
KDC,289806316.0,52.4
