date,vn_retail_buy_vol,vn_retail_buy_value,vn_retail_sell_vol,vn_retail_sell_value,fr_retail_buy_vol,fr_retail_buy_value,fr_retail_sell_vol,fr_retail_sell_value,vn_institute_buy_vol,vn_institute_buy_value,vn_institute_sell_vol,vn_institute_sell_value,fr_institute_buy_vol,fr_institute_buy_value,fr_institute_sell_vol,fr_institute_sell_value
11/12/2025,365413335,10073812958,347995803,10004556656,21450321,834925302.5,23715223,851902654.2,333794025,9838899441,332547929,9527130503,37597425,1418582500,53996151,1782630388
11/11/2025,301390373,8516739909,305191778,8984110866,26980270,952879944.2,27437816,872429455.9,307792599,9169801854,293111194,8627626370,29033861,1138825995,39456315,1294081010
11/10/2025,340333893,9747674647,350354809,9959280050,24486068,777014019.1,33819781,1098764653,313713382,8994318410,299859459,8599790149,56588828,1824870215,51088122,1686042439
11/07/2025,398474593,11126855186,387706393,11059062602,40022179,1250650917,43244514,1306427682,371780395,10828471719,336636330,9584871380,37843536,1426753234,80533466,2682369392
11/06/2025,279776680,8164519481,250705872,7372043631,15615745,657872427.5,40111957,1308430006,263511798,7861430817,250639324,7591654913,26180348,1219228805,43627418,1630922980
11/05/2025,306127552,9198051560,303135180,9104581762,14019200,538796379.6,26992893,961639893.2,296072774,8705201972,270071799,7990709664,46637030,1769249665,62656684,2154368258
11/04/2025,550343120,15462186436,522377598,14716082042,53431317,1598627932,55087370,1735943481,494728572,13997823444,569212393,15946798484,101192760,3207865167,53018408,1867678972
11/03/2025,471476321,12970191576,482351306,13878034668,41755708,1352080193,31250944,963761482.6,441252403,12902381289,415722722,11841138292,58951976,2288357565,84111436,2830076180
10/31/2025,394192936,12119056895,385592570,12083272774,25234359,924366933,29296142,1151663538,381277759,12581485821,378603834,12157350339,46137823,2058023046,53350331,2290646044
10/30/2025,365729858,10664164759,348007401,10075682150,25443450,1098677575,32455271,1066715007,374547937,10748571918,345328589,10160058987,31859660,1336550419,71789644,2545508527
10/29/2025,427883706,11812145178,389007721,10962204717,20063198,736932059.8,54883113,1881497377,407088041,11336741714,388217797,10697241862,44502684,1886795601,67428998,2231670597
10/28/2025,416289566,12345592835,444423751,13521563191,48826021,1877539627,47499663,1656136871,411409238,12472953585,395564091,12818361449,59248399,3016376477,48285719,1716401012
10/27/2025,451972932,13804768487,454259557,14477350260,27437464,951326996,35312031,1312074389,448157177,13782416274,396121193,11992196643,44849765,2257384039,86724557,3014274504
